,index,STN_LABEL,AccidentSeverityCategory,COM_NAME,# of accidents,AccidentType,AccidentInvolvingPedestrian,AccidentInvolvingBicycle,AccidentInvolvingMotorcycle,RoadType,AccidentLocation_CHLV95_E,AccidentLocation_CHLV95_N,CantonCode,MunicipalityCode,AccidentYear,AccidentMonth,AccidentWeekDay,AccidentHour,latitude,longitude,Punkt,STR_NORTHING,STR_EASTING,STR_ESID,geom,address
0,0,Müselbachstrasse,as1,Mosnang,2,at4,FALSE,TRUE,FALSE,rt433,2648066.0,1248606.0,AG,4003,2018,10,aw401,9,47.386531358849666,8.07519564519408,POINT (8.07519564519408 47.38653135884967),1248606.0,2719424.0,10092726.0,"47.386531358849666,8.07519564519408","Bühlstrasse, Oberdorf, Buchs, Bezirk Aarau, Aargau, 5033, Schweiz/Suisse/Svizzera/Svizra"
1,64,Haldenstrasse,as1,Thürnen,2,at6,FALSE,FALSE,FALSE,rt432,2623263.0,1256150.0,BL,2823,2011,4,aw403,5,47.455723763281966,7.747109550171687,POINT (7.747109550171687 47.45572376328197),1256150.0,2629353.0,10190885.0,"47.455723763281966,7.747109550171687","Formex AG, Obere Hauensteinstrassesse, Im Teufental, Bubendorf, Bezirk Liestal, Basel-Landschaft, 4416, Schweiz/Suisse/Svizzera/Svizra"
2,74,Stegbachstrasse,as1,Obergösgen,2,at0,FALSE,TRUE,FALSE,rt433,2685860.0,1246499.0,ZH,261,2020,4,aw403,19,47.3637417600046,8.575268601857397,POINT (8.575268601857397 47.3637417600046),1246499.0,2639388.0,10023652.0,"47.3637417600046,8.575268601857397","Witikonerstrasse, Hirslanden, Kreis 7, Zürich, Bezirk Zürich, Zürich, 8032, Schweiz/Suisse/Svizzera/Svizra"
3,73,Bodenackerstrasse,as1,Breitenbach,2,at4,FALSE,FALSE,TRUE,rt433,2627788.0,1250344.0,BL,2884,2020,8,aw404,6,47.4033293511877,7.806753336145236,POINT (7.806753336145236 47.4033293511877),1250344.0,2607990.0,10124519.0,"47.4033293511877,7.806753336145236","Diegten, Bezirk Waldenburg, Basel-Landschaft, 4457, Schweiz/Suisse/Svizzera/Svizra"
4,71,Unterer Mettenbühlweg,as1,Breitenbach,2,at8,TRUE,FALSE,FALSE,rt439,2607921.0,1250708.0,SO,2613,2016,6,aw404,13,47.40714012110105,7.543566988628456,POINT (7.543566988628456 47.40714012110105),1250708.0,2608573.0,10089860.0,"47.40714012110105,7.543566988628456","2, Alice Vogt-Strasse, Breitenbach, Bezirk Thierstein, Amtei Dorneck-Thierstein, Solothurn, 4226, Schweiz/Suisse/Svizzera/Svizra"
5,69,Bachweg,as1,Hauenstein-Ifenthal,2,at0,FALSE,FALSE,TRUE,rt432,2740638.0,1247401.0,AR,3007,2019,7,aw407,18,47.362438577657215,9.300501704357997,POINT (9.300501704357997 47.36243857765722),1247401.0,2632714.0,10155557.0,"47.362438577657215,9.300501704357997","Hundwilerstrasse, Waldstatt, Hinterland, Appenzell Ausserrhoden, 9104, Schweiz/Suisse/Svizzera/Svizra"
6,67,Gartenstrasse,as1,Thürnen,2,at0,FALSE,FALSE,FALSE,rt432,2600928.0,1256150.0,SO,2477,2013,5,aw407,4,47.45613226153546,7.450929446183148,POINT (7.450929446183148 47.45613226153546),1256150.0,2629399.0,10047600.0,"47.45613226153546,7.450929446183148","Felsplatte, 274, Metzerlen-Mariastein, Bezirk Dorneck, Amtei Dorneck-Thierstein, Solothurn, 4116, Schweiz/Suisse/Svizzera/Svizra"
7,63,Weierhof,as1,Sirnach,2,at0,FALSE,FALSE,FALSE,rt432,2600928.0,1256150.0,SO,2477,2013,5,aw407,4,47.45613226153546,7.450929446183148,POINT (7.450929446183148 47.45613226153546),1256150.0,2717290.0,10038615.0,"47.45613226153546,7.450929446183148","Felsplatte, 274, Metzerlen-Mariastein, Bezirk Dorneck, Amtei Dorneck-Thierstein, Solothurn, 4116, Schweiz/Suisse/Svizzera/Svizra"
8,51,Oberbad,as1,Wolhusen,2,at0,FALSE,FALSE,FALSE,rt430,2593601.0,1210819.0,BE,311,2020,7,aw403,15,47.048369045511876,7.354420044931949,POINT (7.354420044931949 47.04836904551188),1210819.0,2647685.0,10017646.0,"47.048369045511876,7.354420044931949","A6, Bundkofen, Schüpfen, Verwaltungskreis Seeland, Verwaltungsregion Seeland, Bern/Berne, 3054, Schweiz/Suisse/Svizzera/Svizra"
9,61,Haltenstrasse,as1,Arbon,2,at0,FALSE,FALSE,TRUE,rt432,2688788.0,1263951.0,ZH,56,2020,2,aw401,18,47.520300486483336,8.617495485653707,POINT (8.617495485653707 47.52030048648334),1263951.0,2748734.0,10073660.0,"47.520300486483336,8.617495485653707","Winterthurerstrasse, Embrach, Bezirk Bülach, Zürich, 8424, Schweiz/Suisse/Svizzera/Svizra"
10,59,Underbruberg,as1,Kirchberg (SG),2,at5,FALSE,TRUE,FALSE,rt433,2684908.0,1254850.0,ZH,66,2014,8,aw405,15,47.43896777649702,8.564253188457869,POINT (8.564253188457869 47.43896777649702),1254850.0,2720760.0,10114531.0,"47.43896777649702,8.564253188457869","58, Flughofstrasse, Glattbrugg, Opfikon, Bezirk Bülach, Zürich, 8152, Schweiz/Suisse/Svizzera/Svizra"
11,57,Underi Märetmattestrasse,as1,Saanen,2,at0,FALSE,FALSE,TRUE,rt432,2733454.0,1148762.0,GR,3822,2015,7,aw407,15,46.47688329698776,9.176503674675867,POINT (9.176503674675867 46.47688329698776),1148762.0,2586241.0,10159190.0,"46.47688329698776,9.176503674675867","strada del Pass, Ca de Mucia, San Bernardino, Mesocco, Moësa, Graubünden/Grischun/Grigioni, 6565, Schweiz/Suisse/Svizzera/Svizra"
12,55,Schornenstrasse,as1,Sattel,2,at8,TRUE,FALSE,FALSE,rt432,2659879.0,1215670.0,LU,1024,2019,12,aw402,17,47.08933297100589,8.227251739856806,POINT (8.227251739856806 47.08933297100589),1215670.0,2690999.0,10091519.0,"47.08933297100589,8.227251739856806","Geisselermoos, Luzernstrasse, Geisselermoos, Weiherhüsli, Emmen, Luzern, 6206, Schweiz/Suisse/Svizzera/Svizra"
13,53,Untere Weierbodenstrasse,as1,Lichtensteig,2,at8,TRUE,FALSE,FALSE,rt432,2724627.0,1242804.0,SG,3374,2016,3,aw401,8,47.32432381498445,9.08732334373233,POINT (9.087323343732329 47.32432381498445),1242804.0,2724973.0,10130441.0,"47.32432381498445,9.08732334373233","3, Loretostrasse, Lichtensteig, Wahlkreis Toggenburg, Sankt Gallen, 9620, Schweiz/Suisse/Svizzera/Svizra"
14,77,Baumschulweg,as1,Würenlos,2,at5,FALSE,TRUE,FALSE,rt433,2684908.0,1254850.0,ZH,66,2014,8,aw405,15,47.43896777649702,8.564253188457869,POINT (8.564253188457869 47.43896777649702),1254850.0,2669681.0,10194291.0,"47.43896777649702,8.564253188457869","58, Flughofstrasse, Glattbrugg, Opfikon, Bezirk Bülach, Zürich, 8152, Schweiz/Suisse/Svizzera/Svizra"
15,78,Präderwanstrasse,as1,Tentlingen,2,at0,FALSE,FALSE,TRUE,rt432,2794373.0,1180158.0,GR,3746,2014,9,aw406,19,46.74425218742048,9.982592238562129,POINT (9.982592238562129 46.74425218742048),1180158.0,2581812.0,10072483.0,"46.74425218742048,9.982592238562129","Chantsura, Pass dal Flüela, Chantsura, Zernez, Region Engiadina Bassa/Val Müstair, Graubünden/Grischun/Grigioni, Schweiz/Suisse/Svizzera/Svizra"
16,99,Mülibüüne,as1,Kirchberg (BE),2,at8,TRUE,FALSE,FALSE,rt432,2659879.0,1215670.0,LU,1024,2019,12,aw402,17,47.08933297100589,8.227251739856806,POINT (8.227251739856806 47.08933297100589),1215670.0,2610465.0,10128999.0,"47.08933297100589,8.227251739856806","Geisselermoos, Luzernstrasse, Geisselermoos, Weiherhüsli, Emmen, Luzern, 6206, Schweiz/Suisse/Svizzera/Svizra"
17,97,Glärnischweg,as1,Eschenbach (SG),2,at0,FALSE,FALSE,FALSE,rt433,2640239.0,1237914.0,AG,4289,2017,10,aw403,7,47.290890116455365,7.970581791126949,POINT (7.970581791126949 47.29089011645537),1237914.0,2716565.0,10033701.0,"47.290890116455365,7.970581791126949","Bottenwilerstrasse, Mühlethal, Zofingen, Bezirk Zofingen, Aargau, 4812, Schweiz/Suisse/Svizzera/Svizra"
18,95,Tal,as1,Bachs,2,at0,FALSE,FALSE,FALSE,rt432,2682368.0,1265839.0,ZH,53,2012,7,aw401,14,47.5381152036927,8.532615584956803,POINT (8.532615584956803 47.5381152036927),1265839.0,2673345.0,10054320.0,"47.5381152036927,8.532615584956803","Schaffhauserstrasse, Bülach, Bezirk Bülach, Zürich, 8180, Schweiz/Suisse/Svizzera/Svizra"
19,93,Hermisrütiweg,as1,Illnau-Effretikon,2,at5,FALSE,TRUE,FALSE,rt433,2684908.0,1254850.0,ZH,66,2014,8,aw405,15,47.43896777649702,8.564253188457869,POINT (8.564253188457869 47.43896777649702),1254850.0,2698814.0,10245775.0,"47.43896777649702,8.564253188457869","58, Flughofstrasse, Glattbrugg, Opfikon, Bezirk Bülach, Zürich, 8152, Schweiz/Suisse/Svizzera/Svizra"
20,91,Chemin du Clos-Fleuri,as1,Corcelles-près-Payerne,2,at8,TRUE,FALSE,FALSE,rt432,2528484.0,1186131.0,VD,5568,2015,8,aw401,8,46.82247464808782,6.501414554623847,POINT (6.501414554623847 46.82247464808782),1186131.0,2562779.0,10114110.0,"46.82247464808782,6.501414554623847","5, 7, Rue Neuve, La Sagne, Sainte-Croix, District du Jura-Nord vaudois, Vaud, 1450, Schweiz/Suisse/Svizzera/Svizra"
21,89,Feldweg,as1,Winznau,2,at0,FALSE,TRUE,FALSE,rt432,2685859.0,1246499.0,ZH,261,2020,9,aw401,12,47.36374189028238,8.575255365377272,POINT (8.575255365377272 47.36374189028238),1246499.0,2637004.0,10129032.0,"47.36374189028238,8.575255365377272","Witikonerstrasse, Hirslanden, Kreis 7, Zürich, Bezirk Zürich, Zürich, 8032, Schweiz/Suisse/Svizzera/Svizra"
22,87,Seefeldstrasse,as1,Zollikon,2,at5,FALSE,FALSE,TRUE,rt432,2646167.0,1244454.0,AG,4010,2011,7,aw404,11,47.34932398137254,8.049619081575631,POINT (8.049619081575631 47.34932398137254),1244454.0,2685214.0,10165532.0,"47.34932398137254,8.049619081575631","Muhenstrasse, Kirchfeld, Oberentfelden, Bezirk Aarau, Aargau, 5036, Schweiz/Suisse/Svizzera/Svizra"
23,85,Ringgasse,as1,Altstätten,2,at0,FALSE,FALSE,TRUE,rt432,2740638.0,1247401.0,AR,3007,2019,7,aw407,18,47.362438577657215,9.300501704357997,POINT (9.300501704357997 47.36243857765722),1247401.0,2758132.0,10251094.0,"47.362438577657215,9.300501704357997","Hundwilerstrasse, Waldstatt, Hinterland, Appenzell Ausserrhoden, 9104, Schweiz/Suisse/Svizzera/Svizra"
