,index,STN_LABEL,AccidentSeverityCategory,COM_NAME,# of accidents,AccidentUID,AccidentType,AccidentType_de,AccidentType_fr,AccidentType_it,AccidentType_en,AccidentSeverityCategory_de,AccidentSeverityCategory_fr,AccidentSeverityCategory_it,AccidentSeverityCategory_en,AccidentInvolvingPedestrian,AccidentInvolvingBicycle,AccidentInvolvingMotorcycle,RoadType,RoadType_de,RoadType_fr,RoadType_it,RoadType_en,AccidentLocation_CHLV95_E,AccidentLocation_CHLV95_N,CantonCode,MunicipalityCode,AccidentYear,AccidentMonth,AccidentMonth_de,AccidentMonth_fr,AccidentMonth_it,AccidentMonth_en,AccidentWeekDay,AccidentWeekDay_de,AccidentWeekDay_fr,AccidentWeekDay_it,AccidentWeekDay_en,AccidentHour,AccidentHour_text,geometry,latitude,longitude,Punkt,STR_NORTHING,STR_EASTING,STR_ESID,geom,address,Street_Name,Zip_Codes
0,0,Müselbachstrasse,as1,Mosnang,2,8081CFEBE80865FBE05328B9D80A0F58,at4,Einbiegeunfall,accident en s'engageant sur une route,Incidente nell’immettersi in una strada,Accident when turning-into main road,Unfall mit Getöteten,accident avec tués,Incidente con persone decedute,Accident with fatalities,FALSE,TRUE,FALSE,rt433,Nebenstrasse,route secondaire,Strada secondaria,Minor road,2648066,1248606,AG,4003,2018,10,Oktober,octobre,Ottobre,October,aw401,Montag,lundi,Lunedí,Monday,9,09h-10h,,47.38653136,8.075195645,POINT (8.07519564519408 47.38653135884967),1248606,2719424,10092726,"47.386531358849666,8.07519564519408","Bühlstrasse, Oberdorf, Buchs, Bezirk Aarau, Aargau, 5033, Schweiz/Suisse/Svizzera/Svizra",Bühlstrasse,5033
1,64,Haldenstrasse,as1,Thürnen,2,A0BA6B6E91B850C4E0430A865E3350C4,at6,Frontalkollision,collision frontale,Collisione frontale,Accident with head-on collision,Unfall mit Getöteten,accident avec tués,Incidente con persone decedute,Accident with fatalities,FALSE,FALSE,FALSE,rt432,Hauptstrasse,route principale,Strada principale,Principal road,2623263,1256150,BL,2823,2011,4,April,avril,Aprile,April,aw403,Mittwoch,mercredi,Mercoledì,Wednesday,5,05h-06h,,47.45572376,7.74710955,POINT (7.747109550171687 47.45572376328197),1256150,2629353,10190885,"47.455723763281966,7.747109550171687","Formex AG, Obere Hauensteinstrassesse, Im Teufental, Bubendorf, Bezirk Liestal, Basel-Landschaft, 4416, Schweiz/Suisse/Svizzera/Svizra", Obere Hauensteinstrassesse,4416
2,74,Stegbachstrasse,as1,Obergösgen,2,A3C8388F06C46174E05328B9D80A5A12,at0,Schleuder- oder Selbstunfall,dérapage ou perte de maîtrise,Incidente di sbandamento o per colpa propria,Accident with skidding or self-accident,Unfall mit Getöteten,accident avec tués,Incidente con persone decedute,Accident with fatalities,FALSE,TRUE,FALSE,rt433,Nebenstrasse,route secondaire,Strada secondaria,Minor road,2685860,1246499,ZH,261,2020,4,April,avril,Aprile,April,aw403,Mittwoch,mercredi,Mercoledì,Wednesday,19,19h-20h,,47.36374176,8.575268602,POINT (8.575268601857397 47.3637417600046),1246499,2639388,10023652,"47.3637417600046,8.575268601857397","Witikonerstrasse, Hirslanden, Kreis 7, Zürich, Bezirk Zürich, Zürich, 8032, Schweiz/Suisse/Svizzera/Svizra",Witikonerstrasse,8032
3,73,Bodenackerstrasse,as1,Breitenbach,2,B2D0395F65CE67C6E05329B9D80A373F,at4,Einbiegeunfall,accident en s'engageant sur une route,Incidente nell’immettersi in una strada,Accident when turning-into main road,Unfall mit Getöteten,accident avec tués,Incidente con persone decedute,Accident with fatalities,FALSE,FALSE,TRUE,rt433,Nebenstrasse,route secondaire,Strada secondaria,Minor road,2627788,1250344,BL,2884,2020,8,August,août,Agosto,August,aw404,Donnerstag,jeudi,Giovedì,Thursday,6,06h-07h,,47.40332935,7.806753336,POINT (7.806753336145236 47.4033293511877),1250344,2607990,10124519,"47.4033293511877,7.806753336145236","Diegten, Bezirk Waldenburg, Basel-Landschaft, 4457, Schweiz/Suisse/Svizzera/Svizra", Bezirk Waldenburg,4457
4,71,Unterer Mettenbühlweg,as1,Breitenbach,2,36F72F66339701BCE0530A839427BACF,at8,Fussgängerunfall,accident impliquant des piétons,Incidente con pedoni,Accident involving pedestrian(s),Unfall mit Getöteten,accident avec tués,Incidente con persone decedute,Accident with fatalities,TRUE,FALSE,FALSE,rt439,andere,autre,Altro,Other,2607921,1250708,SO,2613,2016,6,Juni,juin,Giugno,June,aw404,Donnerstag,jeudi,Giovedì,Thursday,13,13h-14h,,47.40714012,7.543566989,POINT (7.543566988628456 47.40714012110105),1250708,2608573,10089860,"47.40714012110105,7.543566988628456","2, Alice Vogt-Strasse, Breitenbach, Bezirk Thierstein, Amtei Dorneck-Thierstein, Solothurn, 4226, Schweiz/Suisse/Svizzera/Svizra", Alice Vogt-Strasse,4226
5,69,Bachweg,as1,Hauenstein-Ifenthal,2,91CB3A370567E23AE05328B9D80A5BDC,at0,Schleuder- oder Selbstunfall,dérapage ou perte de maîtrise,Incidente di sbandamento o per colpa propria,Accident with skidding or self-accident,Unfall mit Getöteten,accident avec tués,Incidente con persone decedute,Accident with fatalities,FALSE,FALSE,TRUE,rt432,Hauptstrasse,route principale,Strada principale,Principal road,2740638,1247401,AR,3007,2019,7,Juli,juillet,Luglio,July,aw407,Sonntag,dimanche,Domenica,Sunday,18,18h-19h,,47.36243858,9.300501704,POINT (9.300501704357997 47.36243857765722),1247401,2632714,10155557,"47.362438577657215,9.300501704357997","Hundwilerstrasse, Waldstatt, Hinterland, Appenzell Ausserrhoden, 9104, Schweiz/Suisse/Svizzera/Svizra",Hundwilerstrasse,9104
6,67,Gartenstrasse,as1,Thürnen,2,E422C607F3C3015AE0430A83942725DE,at0,Schleuder- oder Selbstunfall,dérapage ou perte de maîtrise,Incidente di sbandamento o per colpa propria,Accident with skidding or self-accident,Unfall mit Getöteten,accident avec tués,Incidente con persone decedute,Accident with fatalities,FALSE,FALSE,FALSE,rt432,Hauptstrasse,route principale,Strada principale,Principal road,2600928,1256150,SO,2477,2013,5,Mai,mai,Maggio,May,aw407,Sonntag,dimanche,Domenica,Sunday,4,04h-05h,,47.45613226,7.450929446,POINT (7.450929446183148 47.45613226153546),1256150,2629399,10047600,"47.45613226153546,7.450929446183148","Felsplatte, 274, Metzerlen-Mariastein, Bezirk Dorneck, Amtei Dorneck-Thierstein, Solothurn, 4116, Schweiz/Suisse/Svizzera/Svizra",Felsplatte,4116
7,63,Weierhof,as1,Sirnach,2,E422C607F3C3015AE0430A83942725DE,at0,Schleuder- oder Selbstunfall,dérapage ou perte de maîtrise,Incidente di sbandamento o per colpa propria,Accident with skidding or self-accident,Unfall mit Getöteten,accident avec tués,Incidente con persone decedute,Accident with fatalities,FALSE,FALSE,FALSE,rt432,Hauptstrasse,route principale,Strada principale,Principal road,2600928,1256150,SO,2477,2013,5,Mai,mai,Maggio,May,aw407,Sonntag,dimanche,Domenica,Sunday,4,04h-05h,,47.45613226,7.450929446,POINT (7.450929446183148 47.45613226153546),1256150,2717290,10038615,"47.45613226153546,7.450929446183148","Felsplatte, 274, Metzerlen-Mariastein, Bezirk Dorneck, Amtei Dorneck-Thierstein, Solothurn, 4116, Schweiz/Suisse/Svizzera/Svizra",Felsplatte,4116
8,51,Oberbad,as1,Wolhusen,2,AEB399B9103A0AB1E05329B9D80A4937,at0,Schleuder- oder Selbstunfall,dérapage ou perte de maîtrise,Incidente di sbandamento o per colpa propria,Accident with skidding or self-accident,Unfall mit Getöteten,accident avec tués,Incidente con persone decedute,Accident with fatalities,FALSE,FALSE,FALSE,rt430,Autobahn,autoroute,Autostrada,Motorway,2593601,1210819,BE,311,2020,7,Juli,juillet,Luglio,July,aw403,Mittwoch,mercredi,Mercoledì,Wednesday,15,15h-16h,,47.04836905,7.354420045,POINT (7.354420044931949 47.04836904551188),1210819,2647685,10017646,"47.048369045511876,7.354420044931949","A6, Bundkofen, Schüpfen, Verwaltungskreis Seeland, Verwaltungsregion Seeland, Bern/Berne, 3054, Schweiz/Suisse/Svizzera/Svizra", A6,3054
9,61,Haltenstrasse,as1,Arbon,2,9FCE29EBACAA002FE05329B9D80ACC91,at0,Schleuder- oder Selbstunfall,dérapage ou perte de maîtrise,Incidente di sbandamento o per colpa propria,Accident with skidding or self-accident,Unfall mit Getöteten,accident avec tués,Incidente con persone decedute,Accident with fatalities,FALSE,FALSE,TRUE,rt432,Hauptstrasse,route principale,Strada principale,Principal road,2688788,1263951,ZH,56,2020,2,Februar,février,Febbraio,February,aw401,Montag,lundi,Lunedí,Monday,18,18h-19h,,47.52030049,8.617495486,POINT (8.617495485653707 47.52030048648334),1263951,2748734,10073660,"47.520300486483336,8.617495485653707","Winterthurerstrasse, Embrach, Bezirk Bülach, Zürich, 8424, Schweiz/Suisse/Svizzera/Svizra",Winterthurerstrasse,8424
